Label,Frequency
UIBCDCA,367
UIBCDAC,156
UIBCCBD,406
UIBCCDB,239
UIDABAB,5
UIDAABD,15
UIBCCDA,108
UIBCCCB,27
UIBCCCA,6
UIBCCCC,3
UIBCCAC,12
UIBCCAD,47
UIDAAAB,10
UIDCDCB,3
UIBCCBC,63
UIDCADA,1
UIDCDBC,2
UIDCDDA,2
UIDCDCD,2
UIDCDCA,1
UIDCDAC,1
UIDCCBD,1
UIDCCBB,1
UIDCCBA,1
UIDCADC,1
UIDCACB,1
UIDCACA,3
UIDCAAC,5
UIDCAAA,5
UIDCAAB,5
UIDACCD,7
UIDACCB,7
UIDAAAD,5
UIDAAAA,7
UIBCCCD,8
UIBCCDC,10
UIDCDBD,2
UIDCDBB,2
UIDDCAA,2
UIBCCDD,31
UIDAABB,20
UIDAADB,6
UIDAADD,5
UIDACBB,3
UIDADAA,4
UIDADAB,2
UIDADAD,4
UIDADBC,1
UIDADBD,2
UIDADDB,2
UIDADDD,2
UIDCBBB,2
UIDCBBD,2
UIDDAAC,2
UIDDACA,2
UIDDACC,2
UICABAD,5
UICABCA,4
UICAADB,4
UICAADD,4
UICAADC,4
UICACBA,4
UICACBC,4
UICACDA,5
UICACDC,5
UICCABA,4
UICCAAB,2
UICCAAD,4
UICCAAC,7
UICCACA,1
UHDDBDB,1
UHDDBDA,2
UHDDBDC,1
UHDDBCD,1
UHDDBCC,1
UHDDADD,1
UICABAC,5
UICABBC,7
UICABBA,7
UIBCCBB,37
UIBCADD,28
UIBCADC,52
UIBCACD,46
UIBCACC,9
UIADBDD,6
UIADDBA,6
UIADDAB,6
UIADDAA,6
UIADDAC,6
UIADCBD,6
UIADCBC,6
UIADCDA,6
UIADCCB,6
UIADCCD,7
UIADCCC,6
UICABBB,7
UHDDBCA,1
UHDADDC,4
UIADDBB,4
UICBAAA,3
UIBCDAA,10
UIBCDAB,30
UIBCDAD,24
UHDADDA,3
UHDADBC,1
UHDADBD,1
UHDADBB,1
UHDBCAA,2
UHDBCAB,1
UHDBACD,1
UHDBADC,1
UHDBADD,1
UHDBADB,1
UHDBBCA,2
UHDBBCB,1
UHDBBDA,1
UHDBBDB,1
UICAACA,1
UICAACB,1
UICAADA,1
UICAABC,1
UICAABD,1
UIBDABD,16
UIBCBCB,40
UIBCBDA,40
UIBCBBC,14
UIBCBBD,15
UIBDAAC,16
UIBDAAD,15
UIBDABC,15
UIBDBAC,19
VLDCACA,2
VMCBCBA,4
VMCACBB,4
VMCABCC,4
VMCABCD,4
VMCABDC,4
VMCABDD,4
VMCBACC,4
VMCBACD,4
VMCBCAB,4
VMCBCBB,4
VMCACAB,2
VMCBADD,4
VMCBBCC,4
VMCBBCD,4
VMCBDAB,4
VMCBDAD,4
VMCBDBC,4
VMCBDDA,4
VMCBDDB,4
VMCACBA,4
VMCACAA,2
VLDCAAC,2
VLDADDB,2
VLDCAAD,1
VLDCAAB,1
VLDCABA,1
VLDCABB,2
VLDADCC,2
VLDADCD,2
VLDADDC,2
VLDADDA,2
VLDBCCA,2
VMCACAC,2
VLDBCCB,2
VLDBCAD,2
VLDBCBC,2
VLDBCBD,2
VLDBDAC,2
VLDBDAD,2
VLDBDBC,2
VLDBDBD,2
VMCBDDD,9
ULBBBBA,4
VMCBDDC,4
ULBBBBB,2
VMCCAAC,2
VMCACBC,2
VMCACAD,2
VMCACCB,2
VMCACCD,2
VMCACCC,2
VMCCAAA,2
VMCCACA,2
VLDDDDD,2
VMCCACD,2
VMCCACC,2
VMCCCAA,2
VMCCCAC,2
VMCCCCA,2
VLDDDDB,2
VMCCACB,2
VMCADAA,1
VMCDBBB,3
VMCABDB,1
ULBBBBC,3
ULBBBDA,1
ULBBBCB,1
ULBBBCD,1
VMCDBBD,4
VMDCAAC,3
VLCDDBA,1
VLDCACC,1
VLCDDBB,1
VLCDDAD,1
VLCDDAC,1
VLCDCBD,1
VLCDCDB,1
VLCDCDA,1
VLCDCBC,1
VLCDCAD,1
VLCDCAC,1
VLCDCAA,1
VLCDACC,1
VLCCBDD,1
VLCCBDB,1
VLCCBDA,1
VLCCBBC,2
UKBABBD,2
VLCCBAA,2
VLCADCC,2
VLCCABA,7
UKABAAC,1
UKABAAA,1
UKABAAB,2
UKABABA,1
UKABABB,2
UKABBAB,1
UKABBAA,1
UKAABBC,1
UKABBBA,1
UKABBBB,1
VKCDDDD,2
VKDCCCC,1
UKAABBD,2
UKAABAB,1
UKAABAD,1
VKDCCCB,1
UKAABAA,1
VKCCDCC,2
VKCCCDD,1
VKCCCDB,1
VKCCCAD,1
VKCCCAC,1
VKCCCAA,1
VJDDBCD,2
VJDDBCB,1
VJDDBCA,1
VJDDBAC,1
VJDDABD,1
VKDCCCA,1
VKDCCDD,1
VKDCCCD,1
VKDCCDC,1
VLCCBAB,1
VLCACDD,1
VLCCABB,1
VLCACDC,4
VLCCAAB,5
VLCCAAD,3
VLCCAAC,4
VLCCACA,5
VKDDBDB,4
VKDDBDD,5
VKDDDBB,2
VKDDDBD,2
VKDDDBC,2
VKDDDDA,1
VKDDDDC,2
VKDDDCD,1
VKDDDCC,2
VKDDCDD,1
UKBBABB,1
UKBBABA,1
UKBBAAB,1
UKBBAAC,1
UKBABBC,1
UKBABBA,1
UKBABAB,2
UKBABAA,1
VLCCBBA,1
VJDDABB,1
UJAACCD,9
UJAACCB,10
UJAACCA,2
UIBBDDB,1
UJAAABD,1
UJAAADB,1
UJAAADD,1
UJAACBB,1
UJAACBA,1
UJAACBC,1
