Label,Frequency
UJCCDAC,1552
UJCCDAD,850
UJCCDAB,177
UJCCBCD,37
UJCCBCC,297
UJCCBCA,296
UJCCABD,1421
UJCCADB,158
UJCCDAA,357
UJCCBAC,96
UJBCCAD,3
UJCCABC,26
UJCCDBC,15
UJCCDDA,15
UJCCDDB,25
UJCCDDD,25
UJCCDDC,15
TJAABBA,10
UJDACBB,17
UKADDBC,194
UJCCAAC,10
UJCCAAD,5
UJCCAAA,5
UIDDBBD,5
UIDDBBB,5
UIDDBBA,5
UIDDBAB,5
UIDDBAA,10
UIDBDCC,10
UIDBDCA,10
UKADDBD,144
UKCAABA,17
UJDBADB,4
UKCAABD,67
UKCAABC,36
UKCAABB,14
UKCAAAD,14
UKADDAA,24
UKADCBB,18
UKADDAD,21
UKADDBB,20
UKADDBA,11
UKADDAB,15
UKADBCC,6
UKADADD,6
UJCCABB,25
UJCCABA,29
UKACAAB,16
UJADBDD,14
UKADDDB,10
UKADBCA,4
UKACACC,15
UJBDDDB,4
UJBDDDA,11
UJBDDDC,11
UJDBBBA,11
UJCBACD,10
UJCBBAC,5
UJCBADA,5
UJCBACB,5
UKBCCAA,17
UKBCCAC,11
UKBCCAB,6
UKBCACC,11
UJCACDC,12
UJCACCD,23
UJCCAAB,6
UJBCCCC,3
