Label,Frequency
UIDABDA,56
UIBCCDA,12
UIBCCDB,19
UIBCCDD,81
UIDAABB,69
UIDAABD,66
UIDAADB,71
UIDABCA,16
UIDABCB,9
UIDABDB,25
UIDABDC,269
UIDCCDC,132
UIDCDCD,3
TIBABAA,18
UIDCCDD,30
TIBAABB,16
UIDDAAA,35
TIBAABA,29
UIDADBB,37
UIDBCCC,29
UIDDAAC,8
UIDCCDB,13
UIDABDD,10
UIDCCCD,8
UIDCCCB,10
UIDCDCC,3
UIDCDBC,3
UIDDACA,5
UIDBCCD,7
UIDADDA,11
UIDADDC,1
UIDDAAB,4
UIDBCCB,5
UIDBCCA,8
UIDBCAC,25
UIDBCAA,28
UIDADBA,151
UIDADAB,131
UIDADAA,70
UIDABCC,53
UIDAADD,71
UIDACBA,2
UIDACAB,6
UIDAACD,3
UIDAACC,1
UIDACAA,2
UIDACAC,1
UIDACAD,4
UIDACCB,4
UIDACDA,20
UIDACDC,25
UIDACCD,15
UIDCAAB,14
UIDCAAD,14
UIDCACB,13
UIDCADA,16
UIDCADC,17
UIDCADD,6
UIDCCBB,12
UIDCDAA,4
UIDADCC,9
UIDADBC,12
UIDADCB,18
UIDADCD,10
UIDACDD,13
UIBDCCC,12
UIBCCDC,95
UIBDCCD,7
UIBCCBD,7
UIBCDBA,2
UIBDCDC,3
UIBDCDD,3
UIBDCDB,1
UIBDCBD,1
UIBDCBC,1
UIBDCBA,1
UIBDCAB,1
UIBDCAA,1
UIBCDBB,1
UIBCDAB,1
UIBCCBC,3
UIBCDAA,1
UIBCCBB,2
UIBCDDD,9
UIBCDDC,16
UIBCDCD,10
UIBCDCC,25
UIBCCCD,140
UIDABBA,9
UIDABBC,16
UIBCBDC,1
UIBCDBC,2
UIBCDDA,2
UIDBAAB,2
UIDADAD,40
UIDABBD,5
UIDBAAC,5
UIDBAAD,5
UIDCBAB,1
UIDCBAD,1
UIDCBAA,1
UIDCABB,3
UIDACDB,15
UIDADCA,7
UICBBBB,184
UIDAAAA,101
UIDAAAB,126
UIDABAD,8
UIADDDD,259
UIBCCCC,42
UIBCDCA,3
UIDABAA,17
UIDABAC,16
UIBDCCB,1
UIBDCCA,1
UIBCCCB,35
UIBCCAD,4
UIBCDAC,3
UIBCDAD,1
UIBCACD,3
UIBCACC,2
UIBCCAA,1
UIADDDB,26
UIADDBD,6
UIADDBB,1
UIADBDD,1
UIBCADC,2
UIBCADA,1
UIBCACB,1
UIBCCAC,4
UIDAABA,19
UIDADDB,21
UJCABDC,2
UJCBBAB,2
UJCBBAD,1
UJCBBAC,1
UJCBABD,1
UJCBADB,2
UJCBADA,2
UJCBACB,2
UJCBACA,2
UJCABDB,2
UJCABDD,2
UJCABCD,2
UJCABCC,2
UJCADAA,2
UJCACBB,2
UJCACBA,2
UJCACAB,2
UJCACAA,2
UJCAACC,2
UIDBBDD,2
UIDBBDC,2
UIDBBCD,2
UJCBBBA,3
UIDBCAB,7
UIDBACD,7
UIDBADC,7
UIDBADD,8
UIDBBCC,1
UJCBACD,1
UIDBCAD,2
UIBCCCA,41
UIDCADB,7
UIDCBCA,4
UIDCDCA,1
UIDCDAC,1
UIDCCBD,8
UIDCCBA,8
UIDCABD,2
UIDCCDA,9
UIDCCBC,6
UIDBABC,4
UIDBABD,4
UIDBADB,6
UIDACBB,24
UIDADDD,19
UIDADBD,23
UKCADCD,1
UIDACBD,2
UIDCACD,2
UIDCACC,2
UIDCCAA,4
UIDCCAC,3
UIDCCAD,3
UIDDACC,5
RKDDACB,1
RKDDADA,1
RKDDABC,7
RKDDAAD,4
UICDDBB,1
UICDBDD,1
UICDBDB,1
UIDCAAC,2
UIDCAAA,1
UIDACBC,4
UIDAACB,2
UIDAAAD,12
UIDAAAC,2
UIDAACA,2
UICBBDB,2
UIBDDCC,2
UIBDDCA,1
UIBDDCB,1
UIBDDCD,2
UIBDDDC,3
UIBDDDD,3
UJACCCC,1
UIDBBBB,1
UIDABCD,18
UIDDAAD,2
UIDAABC,7
UIDAADA,7
UIDCDBA,2
UIDCDAB,2
UIDDCAA,2
UIDCDBB,2
UIDCDBD,2
UIDAADC,1
UIDCDCB,1
UIDCDDA,1
UJDBBAA,1
UJDBABB,1
UJBDCDD,2
TIBAAAB,2
TIBAAAA,2
TIBAABC,2
UIDCCCC,1
TIBAAAC,1
TIBAAAD,1
TIBAADA,1
TIBAABD,1
UICABBB,1
UICABBA,1
UICABBC,1
UICABBD,1
UICABDB,1
UICBACA,1
UICBACB,1
UICBAAD,1
UIBCADD,1
TIBBAAD,1
TIBABAB,2
TIBABAC,1
TIBABAD,1
