Label,Frequency
VJDDCDC,117
UKCDABA,398
VJDDCDD,85
UKCADDB,92
UKCDABC,319
VJDDDCD,40
UKCACDB,27
UJDBBBA,48
UJDBBBC,23
UJDBBDB,47
UKCAACA,48
UKCAACB,48
UKCAADC,48
UKCACBA,24
UKCACBD,24
UKCADCA,43
UJBBBAB,38
UKCADDA,49
VJDDDCA,63
UKCADDD,43
UKCBCCA,40
UKCBCCB,39
UKCBCCD,55
UKCBCDC,50
VJDDCDB,62
UJDBBAB,9
UJBDDCD,28
UJBDDCB,45
UJBDDDA,48
UJBBBAD,48
UJBBBDA,47
UJBBBDC,47
UJBBBDD,50
UJBBDBB,50
UKAACAA,27
UKAACAC,27
UKAACCA,27
UKAACCC,26
UKACAAA,38
UKACAAC,48
UKACACA,37
UJBDBDB,48
UJBDBDD,48
UJBDDBB,30
UJBDDBA,46
VJDDDCC,43
UJBDDBC,29
UKCDAAD,36
UKCDACB,17
UKCDACA,20
UKCCBDB,10
UKCDBDB,4
UKCDADA,32
UKCDADB,2
UKCDBCA,2
UKCDBCB,2
UKCDBDA,2
UKCDBBC,2
UKCDBBD,2
UKDCACA,2
UKDCACB,2
UKDCADA,2
UKDCADB,3
UKDCABD,3
UKDCABB,1
UJBBBBD,3
UJBBBBC,27
UJBBBBA,3
VJDDDDC,8
VJDDDCB,16
UJBBBDB,3
UKCACBB,34
UJDBBDA,17
UJBDDDC,27
RIABADD,6
TJADDCA,1
RIACAAC,3
RIAADCD,3
RIAADCC,3
RIAACDD,3
RIAACDC,3
RIACAAB,3
RIACAAD,3
RIACACA,3
RIAADDB,3
RHBDBDB,3
RHBDBDA,3
RHBDBBC,3
RHBDBAD,3
RHBDBAC,3
RHBDABD,3
RHBDABC,2
RIAADDA,3
RIABCAC,3
TJADDCC,1
RIABCAD,3
SIDCCCB,3
SIDCCCA,3
SIDCCCC,3
SICDDDD,3
RIABBBB,3
RIABBBA,3
RIABBBC,3
RIABBAD,3
RIABBCB,3
RIABBCA,3
RIABBCC,3
RIABCBB,3
RIABADC,3
RIABCBA,3
RIABCAB,3
RHBDABA,3
RHBDAAB,3
RHBBCCC,3
RHADADB,2
RHADABC,2
RHADAAD,2
RHADAAC,2
RHACBBD,2
RHACBBC,2
RHACBDA,2
RHACBCB,2
RHACBCA,2
RHACADB,2
RHACADA,2
RHACABC,2
RHACAAB,2
RHACAAA,2
RGBDBBB,2
RGBBDDD,4
RHADADA,1
RHADBCA,2
RHBADDD,3
RHADBCB,2
RHBADDC,3
RHBADCD,3
RHBCBAB,3
RHBCBAA,3
RHBCBAC,3
RHBCABD,3
RHBCADB,3
RHBCADA,3
RHBCACB,3
RHBCACD,3
RHBCACC,3
RHBCCAA,3
RHADDBB,3
RHADBDC,3
RHADBCD,2
SIDCCDA,3
SIDCCDB,3
SIDCDAC,3
TJCDCDB,1
TJCDDCC,1
SJABBAA,1
SJABBAC,1
SJABBCA,1
SJABBCC,1
SJABDAA,1
SJABDAC,1
SJABDCA,1
SJABDCC,3
SJADBAA,3
SJADABB,3
SJADABD,3
SJADADB,3
SJADADA,3
SJADADC,3
TJCDCDD,1
TJCDCBD,1
SJADCBC,3
TJCDCBB,1
TJADCDD,1
TJCBABB,1
TJCBABD,3
TJCBADB,1
TJCBADA,1
TJCBADC,1
TJCBCBA,1
TJCBCBC,1
TJCBCDA,1
TJCBCDC,1
TJCDABA,1
TJCDABC,1
TJCDADA,1
TJCDADB,1
TJCDADD,1
SJADCBA,3
SJADCDA,3
SIDCDAD,3
SIDBDDB,3
SIDBDDC,3
SIDDBBA,3
SIDDBAB,3
SIDDBAA,3
SIDDABB,2
SIDDABD,3
SIDDABC,3
SIDDADA,1
SIDDACB,3
SIDDACA,3
SIDDACC,3
SIDCBDD,2
SIDCDBB,3
SIDCDBA,1
SIDCDBC,3
SIDBDDD,3
SJCACCA,3
SJADCDC,3
SJCACAC,3
SJCBABA,3
SJCBABC,3
SJCBADA,2
SJCBACB,3
SJCBACA,3
SJCBACC,3
SJCABDD,3
SJCABDC,3
SJCADBA,3
SJCADAB,3
SJCADAA,3
SJCACBB,3
SJCACBA,3
SJCACAB,3
SJCACAD,3
RGBBDDC,3
RGBBDDB,3
RGBBDBD,2
SIDCDCA,1
SJBCAAB,2
SJBACCD,2
SJBACCC,2
SJABDDD,2
SJABDDC,2
SJABDCD,2
RHADDBA,3
RIAADCB,1
RHBBCCD,1
SJBCABA,3
UKCDADC,34
TKACCDC,6
TKAACDA,9
TKAACDC,9
TKACABA,9
TKACABC,9
TKACADA,9
TKACADC,8
TKACCBA,6
TKACCBC,6
TKACCDA,6
TKCAABA,6
TKAACBA,9
TKCAABC,7
TKCAABD,6
TKCAADB,6
TKCAADA,6
TKCAADC,6
TKCACBA,6
TKCACAB,3
TKCACAD,2
TKAACBC,9
TKAAADC,9
TKCACCD,3
TKAAADA,9
UKCDADD,25
UKCDACD,12
UKCDACC,26
UKCCBDD,26
UKCCBDC,11
UKCCBDA,34
UKCCBCB,40
UKCCBCA,19
UKCCBCC,12
UKCCDAA,8
UKCCDAC,11
UKCCCBD,8
UKCCCBC,18
